case_id,holding_id,ruling_direction,pro_ds,primary_concept,concept_cluster,chamber,chamber_grouped,core_holding,direction_justification,p_hat_insample,p_hat_loo,pearson_resid,deviance_resid,loo_surprise,loo_error,cooks_d
C-129/21,1,PRO_DATA_SUBJECT,1,CONSENT_BASIS,LAWFULNESS,FOURTH,FOURTH,"GDPR consent is required for including subscriber personal data in telephone directories published by third-party providers, and such consent may be given to the operator or any directory provider.","Confirms that GDPR-standard consent is required for directory inclusion, strengthening subscriber control over personal data publication.",0.6000853757779593,0.5901530182500077,0.8163513613578837,1.010626875682028,0.40984698174999235,-0.40984698174999235,0.002823241321338116
C-129/21,2,PRO_DATA_SUBJECT,1,RIGHT_TO_ERASURE,RIGHTS,FOURTH,FOURTH,A subscriber's request to withdraw personal data from telephone directories constitutes exercise of the right to erasure under Article 17 GDPR.,"Classifies withdrawal requests as erasure rights under Article 17 GDPR, giving subscribers stronger legal protection than mere rectification.",0.2625866694576393,0.24008979138585346,1.6757883026122826,1.6353434392089832,0.7599102086141465,-0.7599102086141465,0.014874068090789392
C-129/21,3,PRO_DATA_SUBJECT,1,ACCOUNTABILITY,PRINCIPLES,FOURTH,FOURTH,A DPA may require directory providers to take measures to inform third-party controllers (operators and other directory providers) of a subscriber's consent withdrawal.,"Imposes chain notification obligations on controllers to facilitate consent withdrawal, making it easier for subscribers to exercise their rights.",0.764027043415452,0.7592458784033602,0.5557465192809729,0.7336921606524586,0.24075412159663978,-0.24075412159663978,0.0010620226655050598
C-129/21,4,PRO_DATA_SUBJECT,1,RIGHT_TO_ERASURE,RIGHTS,FOURTH,FOURTH,A DPA may order directory providers to take reasonable steps to inform search engines of erasure requests from subscribers.,"Extends directory providers' obligations to include notifying search engines, strengthening the right to be forgotten in the online environment.",0.764027043415452,0.7592458784033602,0.5557465192809729,0.7336921606524586,0.24075412159663978,-0.24075412159663978,0.0010620226655050598
C-132/21,1,PRO_DATA_SUBJECT,1,REMEDIES_COMPENSATION,ENFORCEMENT,FIRST,FIRST,"The remedies under Articles 77-79 GDPR may be exercised concurrently and independently, with Member States setting procedural rules ensuring effective protection and consistent application.","Permits data subjects to pursue multiple remedies concurrently, maximizing avenues for enforcement of their rights.",0.764027043415452,0.7592458784033602,0.5557465192809729,0.7336921606524586,0.24075412159663978,-0.24075412159663978,0.0010620226655050598
C-154/21,1,PRO_DATA_SUBJECT,1,RIGHT_OF_ACCESS,RIGHTS,FIRST,FIRST,"The right of access under Article 15(1)(c) GDPR entails an obligation to provide data subjects with the actual identity of recipients to whom their data have been disclosed, unless identification is impossible or the request is manifestly unfounded or excessive.","The Court interprets the right of access broadly to require disclosure of specific recipient identities, not just categories, thereby enhancing data subject control over their personal data.",0.45051773389779753,0.4269897456420574,1.1043860055654502,1.2628205238952634,0.5730102543579426,-0.5730102543579426,0.009095744545892903
C-169/23,1,PRO_CONTROLLER,0,TRANSPARENCY,PRINCIPLES,THIRD,THIRD,"The exception to the controller's obligation to provide information applies to all personal data not collected directly from the data subject, including data generated by the controller itself.",Broad interpretation of the exception to information obligations reduces controller burdens by exempting them from providing information for controller-generated data when statutory conditions are met.,0.6000853757779593,0.614937267440857,-1.2249627389852658,-1.3538864015126921,0.614937267440857,0.614937267440857,0.006356814174992949
C-169/23,2,MIXED,0,DPA_POWERS,ENFORCEMENT,THIRD,THIRD,"Supervisory authorities are competent to verify whether Member State law provides appropriate protective measures under Article 14(5)(c), but this does not extend to verifying Article 32 security measures.",DPA competence is affirmed for verifying protective measures (pro-data subject) but limited by excluding Article 32 security measures from the scope of review (pro-controller).,0.6000853757779593,0.614937267440857,-1.2249627389852658,-1.3538864015126921,0.614937267440857,0.614937267440857,0.006356814174992949
C-17/22 & C-18/22,1,PRO_DATA_SUBJECT,1,CONTRACT_BASIS,LAWFULNESS,FOURTH,FOURTH,"Processing is necessary for contract performance under Article 6(1)(b) only if objectively indispensable for the main contractual purpose, which is not met when the contract expressly prohibits disclosure.","Sets high threshold for contract necessity requiring objective indispensability, protecting data subjects from disclosure contrary to contractual expectations.",0.6166728816695944,0.5929477289494542,0.7884194811135665,0.9832767374910653,0.40705227105054576,-0.40705227105054576,0.0067513301825603105
C-17/22 & C-18/22,2,PRO_DATA_SUBJECT,1,LEGITIMATE_INTERESTS,LAWFULNESS,FOURTH,FOURTH,"Legitimate interests processing under Article 6(1)(f) requires strict necessity and a balancing test where data subject interests may override, particularly when disclosure was not reasonably expected.","Court emphasizes strict necessity, less intrusive alternatives, data minimisation, and reasonable expectations favoring data subject protection over third party interests.",0.45051773389779753,0.4269897456420575,1.1043860055654502,1.2628205238952634,0.5730102543579425,-0.5730102543579425,0.009095744545892903
C-17/22 & C-18/22,3,NEUTRAL_OR_UNCLEAR,0,LEGAL_OBLIGATION_BASIS,LAWFULNESS,FOURTH,FOURTH,"Legal obligation under Article 6(1)(c) can derive from Member State case-law provided it is clear, precise, foreseeable, meets a public interest objective, and is proportionate.","Court sets out conditions for legal obligation basis without definitively ruling whether German case-law meets them, leaving determination to national court.",0.2762902978278238,0.2956889580031936,-0.6178749946756026,-0.8041951639428147,0.2956889580031936,0.2956889580031936,0.0046980140643687164
C-175/20,1,PRO_DATA_SUBJECT,1,SCOPE_MATERIAL,SCOPE,FIFTH,FIFTH,"The collection by tax authorities of a Member State from an economic operator of personal data is subject to GDPR requirements, including Article 5(1) principles.",Broad interpretation of GDPR scope confirms tax authorities are subject to data protection requirements when collecting personal data.,0.74646557739564,0.7394298136588436,0.5827919889013734,0.764729723577169,0.26057018634115636,-0.26057018634115636,0.0016098773997536813
C-175/20,2,PRO_DATA_SUBJECT,1,MEMBER_STATE_DISCRETION,OTHER,FIFTH,FIFTH,Tax authorities cannot derogate from Article 5(1) GDPR unless granted that right by a legislative measure meeting Article 23(1) requirements.,"Requires explicit legislative basis before tax authorities can limit Article 5(1) rights, preventing unilateral derogation by authorities.",0.45051773389779753,0.4269897456420574,1.1043860055654502,1.2628205238952634,0.5730102543579426,-0.5730102543579426,0.009095744545892903
C-175/20,3,MIXED,0,DATA_PROTECTION_PRINCIPLES,PRINCIPLES,FIFTH,FIFTH,Tax authorities may require disclosure of taxpayer data from internet service providers provided the data are necessary for specific purposes and collection period does not exceed strict necessity.,Permits tax authority data collection but imposes strict necessity and purpose limitation requirements protecting data subjects.,0.6166728816695944,0.6539620307187989,-1.2683603380329491,-1.3848224142289869,0.6539620307187989,0.6539620307187989,0.017472697608866296
C-180/21,1,NEUTRAL_OR_UNCLEAR,0,DATA_PROTECTION_PRINCIPLES,PRINCIPLES,FIFTH,FIFTH,"Processing personal data for prosecution serves a different purpose than collection for detection and investigation, but such subsequent processing is permitted under Directive 2016/680 Article 4(2) conditions.","The Court clarifies that different purposes exist but permits subsequent processing under specified conditions, neither expanding nor restricting data subject rights.",0.1628781479670785,0.16902418355058443,-0.44110001411471,-0.5962979745218625,0.16902418355058443,0.16902418355058443,0.001256228164032401
C-180/21,2,PRO_DATA_SUBJECT,1,SCOPE_MATERIAL,SCOPE,FIFTH,FIFTH,The GDPR applies to processing of personal data by a public prosecutor's office when defending the State in civil damages proceedings using data originally collected for criminal purposes.,"The Court interprets GDPR scope broadly to include processing by public authorities for civil defense purposes, ensuring data protection applies.",0.6000853757779593,0.5901530182500077,0.8163513613578837,1.010626875682028,0.40984698174999235,-0.40984698174999235,0.002823241321338116
